ControlId,Title,Category,Severity,Status,OriginalStatus,Expected,Actual,Message,ExceptionId,ExceptionOwner,ExceptionExpiry,Remediation,References
HL-ANON-001,Anonymous SAM enumeration is restricted,Identity,High,Pass,,1,1,The effective state matches the selected baseline.,,,,"Set ""Network access: Do not allow anonymous enumeration of SAM accounts"" to Enabled.",https://learn.microsoft.com/windows/security/operating-system-security/device-management/windows-security-configuration-framework/windows-security-baselines
HL-ANON-002,Anonymous access is restricted,Identity,Medium,Pass,,1,1,The effective state matches the selected baseline.,,,,"Set ""Network access: Do not allow anonymous enumeration of SAM accounts and shares"" to Enabled where compatible.",https://learn.microsoft.com/windows/security/operating-system-security/device-management/windows-security-configuration-framework/windows-security-baselines
HL-FW-001,Windows Firewall is enabled for every profile,Network Protection,Critical,Pass,,Enabled with default inbound Block,Enabled with default inbound Block,The effective state matches the selected baseline.,,,,Enable Windows Firewall for all profiles and deploy explicit allow rules for required management and application traffic.,https://learn.microsoft.com/windows/security/operating-system-security/network-security/windows-firewall/best-practices-configuring
HL-FW-002,Default inbound firewall action is Block,Network Protection,High,Pass,,Enabled with default inbound Block,Enabled with default inbound Block,The effective state matches the selected baseline.,,,,"Set the default inbound action to Block for Domain, Private, and Public profiles, then maintain explicit allow rules.",https://learn.microsoft.com/windows/security/operating-system-security/network-security/windows-firewall/best-practices-configuring
HL-SMB-001,SMBv1 server component is disabled,Network Protection,Critical,Pass,,Disabled or absent,Disabled or absent,The effective state matches the selected baseline.,,,,Remove or disable the SMB 1.0/CIFS server component after identifying legacy dependencies.,https://learn.microsoft.com/windows-server/storage/file-server/troubleshoot/detect-enable-and-disable-smbv1-v2-v3
HL-SMB-002,SMBv1 client component is disabled,Network Protection,High,Pass,,Disabled or absent,Disabled or absent,The effective state matches the selected baseline.,,,,Remove or disable the SMB 1.0/CIFS client component after identifying legacy dependencies.,https://learn.microsoft.com/windows-server/storage/file-server/troubleshoot/detect-enable-and-disable-smbv1-v2-v3
HL-SMB-003,SMB server signing is required,Network Protection,High,Fail,,True,False,The SMB server accepts sessions without requiring packet signing.,,,,Require SMB server signing through Group Policy or the SMB server configuration. Validate legacy clients before rollout.,https://learn.microsoft.com/windows-server/storage/file-server/smb-signing
HL-SMB-004,SMB client signing is required,Network Protection,High,Pass,,True,True,The effective state matches the selected baseline.,,,,Require SMB client signing through Group Policy or SMB client configuration. Validate legacy appliances first.,https://learn.microsoft.com/windows-server/storage/file-server/smb-signing
HL-SMB-005,Insecure SMB guest authentication is disabled,Network Protection,High,Pass,,False,False,The effective state matches the selected baseline.,,,,Disable insecure guest logons and provide authenticated access to file services.,https://learn.microsoft.com/windows-server/storage/file-server/smb-signing
HL-RDP-001,Remote Desktop requires Network Level Authentication,Remote Administration,High,Pass,,1,1,The effective state matches the selected baseline.,,,,"Enable ""Require user authentication for remote connections by using Network Level Authentication.""",https://learn.microsoft.com/windows-server/remote/remote-desktop-services/clients/remote-desktop-allow-access
HL-WINRM-001,WinRM Basic authentication is disabled,Remote Administration,High,Pass,,False,False,The effective state matches the selected baseline.,,,,"Disable Basic authentication for WinRM client and service. Use Kerberos, certificate authentication, or another approved mechanism.",https://learn.microsoft.com/windows/win32/winrm/installation-and-configuration-for-windows-remote-management
HL-WINRM-002,WinRM unencrypted traffic is disabled,Remote Administration,High,Pass,,False,False,The effective state matches the selected baseline.,,,,Disable unencrypted WinRM traffic and use HTTPS or message-level protection provided by supported authentication protocols.,https://learn.microsoft.com/windows/win32/winrm/installation-and-configuration-for-windows-remote-management
HL-NET-001,LLMNR is disabled,Network Protection,Medium,Pass,,0,0,The effective state matches the selected baseline.,,,,"Enable ""Turn off multicast name resolution"" after validating name-resolution dependencies.",https://learn.microsoft.com/windows/security/operating-system-security/device-management/windows-security-configuration-framework/windows-security-baselines
HL-SVC-001,Remote Registry service is disabled,Remote Administration,Medium,Fail,,Disabled and stopped,"Automatic, Running",Remote Registry is configured for automatic startup and is currently running.,,,,Disable the Remote Registry service unless a documented management dependency exists.,https://learn.microsoft.com/windows/security/operating-system-security/device-management/windows-security-configuration-framework/windows-security-baselines
HL-NTLM-001,LAN Manager authentication level refuses LM and NTLMv1,Credential Protection,High,Pass,,5,5,The effective state matches the selected baseline.,,,,"Set ""Network security: LAN Manager authentication level"" to ""Send NTLMv2 response only. Refuse LM & NTLM"" after auditing legacy dependencies.",https://learn.microsoft.com/previous-versions/windows/it-pro/windows-10/security/threat-protection/security-policy-settings/network-security-lan-manager-authentication-level
HL-DEF-001,Microsoft Defender real-time protection is enabled,Endpoint Protection,Critical,Pass,,True,True,The effective state matches the selected baseline.,,,,Enable real-time protection or document an approved third-party endpoint protection exception.,https://learn.microsoft.com/defender-endpoint/microsoft-defender-antivirus-windows
HL-DEF-002,Cloud-delivered protection is enabled,Endpoint Protection,High,Pass,,"[1,2]","[1,2]",The effective state matches the selected baseline.,,,,Enable cloud-delivered protection at the organization-approved membership level.,https://learn.microsoft.com/defender-endpoint/microsoft-defender-antivirus-windows
HL-DEF-003,Behavior monitoring is enabled,Endpoint Protection,High,Pass,,True,True,The effective state matches the selected baseline.,,,,Enable behavior monitoring in Microsoft Defender Antivirus policy.,https://learn.microsoft.com/defender-endpoint/microsoft-defender-antivirus-windows
HL-DEF-004,Downloaded files and attachments are scanned,Endpoint Protection,High,Pass,,True,True,The effective state matches the selected baseline.,,,,Enable IOAV protection in Microsoft Defender Antivirus policy.,https://learn.microsoft.com/defender-endpoint/microsoft-defender-antivirus-windows
HL-DEF-005,Automatic sample submission is enabled,Endpoint Protection,Medium,Pass,,"[1,3]","[1,3]",The effective state matches the selected baseline.,,,,Configure sample submission according to organizational privacy requirements; avoid Never Send unless formally accepted.,https://learn.microsoft.com/defender-endpoint/microsoft-defender-antivirus-windows
HL-DEF-006,Potentially unwanted application protection is enabled,Endpoint Protection,High,Warning,,1,2,Potentially unwanted application protection is configured in Audit mode rather than Block mode.,,,,Set potentially unwanted application protection to Block.,https://learn.microsoft.com/defender-endpoint/microsoft-defender-antivirus-windows
HL-DEF-007,Microsoft Defender tamper protection is enabled,Endpoint Protection,High,Pass,,True,True,The effective state matches the selected baseline.,,,,Enable tamper protection through the Microsoft Defender portal or supported management channel.,https://learn.microsoft.com/defender-endpoint/microsoft-defender-antivirus-windows
HL-DEF-008,Defender signatures are recent,Endpoint Protection,High,Pass,,<= 3 days,<= 3 days,The effective state matches the selected baseline.,,,,"Restore update connectivity and investigate update channel, proxy, or platform health issues.",https://learn.microsoft.com/defender-endpoint/microsoft-defender-antivirus-windows
HL-DEF-009,Defender network protection is enabled,Endpoint Protection,High,Warning,,1,2,Defender network protection is configured in Audit mode rather than Block mode.,,,,"Deploy network protection in audit mode first, review impact, then enable block mode.",https://learn.microsoft.com/defender-endpoint/microsoft-defender-antivirus-windows
HL-ASR-001,Core Attack Surface Reduction rules are enforced,Attack Surface Reduction,High,Fail,,5 required rules in approved enforcement modes,"5 pass, 1 audit-only, 1 fail",One required ASR rule is disabled and another remains in Audit mode.,,,,"Pilot non-standard rules in Audit mode, tune legitimate impact, and move approved rules to Block or Warn. Avoid broad exclusions.",https://learn.microsoft.com/defender-endpoint/attack-surface-reduction-rules-reference; https://learn.microsoft.com/defender-endpoint/attack-surface-reduction-rules-overview
HL-PS-001,Windows PowerShell 2.0 is disabled,Scripting Security,High,Warning,,Disabled or absent,Disable pending,Windows PowerShell 2.0 is pending disablement and requires a restart.,,,,Remove the Windows PowerShell 2.0 optional feature after validating legacy script compatibility.,https://learn.microsoft.com/powershell/module/microsoft.powershell.core/about/about_logging_windows?view=powershell-7.5
HL-PSLOG-001,PowerShell Script Block Logging is enabled,Security Logging,High,Pass,,1,1,The effective state matches the selected baseline.,,,,"Enable ""Turn on PowerShell Script Block Logging."" Protect and forward the PowerShell Operational log.",https://learn.microsoft.com/powershell/module/microsoft.powershell.core/about/about_logging_windows?view=powershell-7.5
HL-PSLOG-002,PowerShell Module Logging is enabled,Security Logging,Medium,Fail,,Enabled with at least one module pattern,Disabled or not configured,PowerShell Module Logging is not enabled through machine policy.,,,,"Enable PowerShell Module Logging and configure approved module patterns, commonly ""*"" for broad visibility after sizing log collection.",https://learn.microsoft.com/powershell/module/microsoft.powershell.core/about/about_logging_windows?view=powershell-7.5
HL-PSLOG-003,Process creation events include command lines,Security Logging,High,Pass,,1,1,The effective state matches the selected baseline.,,,,"Enable ""Include command line in process creation events."" Restrict Security log access because arguments can contain sensitive data.",https://learn.microsoft.com/windows/security/threat-protection/auditing/advanced-security-auditing
HL-AUD-001,Credential Validation auditing captures success and failure,Advanced Auditing,High,Pass,,Success and Failure,Success and Failure,The effective state matches the selected baseline.,,,,Configure Advanced Audit Policy: Account Logon > Credential Validation to Success and Failure.,https://learn.microsoft.com/windows/security/threat-protection/auditing/advanced-security-auditing; https://learn.microsoft.com/windows/win32/api/ntsecapi/nf-ntsecapi-auditquerysystempolicy
HL-AUD-002,Security Group Management auditing captures success,Advanced Auditing,Medium,Pass,,Success,Success,The effective state matches the selected baseline.,,,,Configure Advanced Audit Policy: Account Management > Security Group Management to include Success.,https://learn.microsoft.com/windows/security/threat-protection/auditing/advanced-security-auditing; https://learn.microsoft.com/windows/win32/api/ntsecapi/nf-ntsecapi-auditquerysystempolicy
HL-AUD-003,User Account Management auditing captures success and failure,Advanced Auditing,High,Pass,,Success and Failure,Success and Failure,The effective state matches the selected baseline.,,,,Configure Advanced Audit Policy: Account Management > User Account Management to Success and Failure.,https://learn.microsoft.com/windows/security/threat-protection/auditing/advanced-security-auditing; https://learn.microsoft.com/windows/win32/api/ntsecapi/nf-ntsecapi-auditquerysystempolicy
HL-AUD-004,Process Creation auditing captures success,Advanced Auditing,High,Pass,,Success,Success,The effective state matches the selected baseline.,,,,Configure Advanced Audit Policy: Detailed Tracking > Process Creation to include Success.,https://learn.microsoft.com/windows/security/threat-protection/auditing/advanced-security-auditing; https://learn.microsoft.com/windows/win32/api/ntsecapi/nf-ntsecapi-auditquerysystempolicy
HL-AUD-005,Logon auditing captures success and failure,Advanced Auditing,High,Pass,,Success and Failure,Success and Failure,The effective state matches the selected baseline.,,,,Configure Advanced Audit Policy: Logon/Logoff > Logon to Success and Failure.,https://learn.microsoft.com/windows/security/threat-protection/auditing/advanced-security-auditing; https://learn.microsoft.com/windows/win32/api/ntsecapi/nf-ntsecapi-auditquerysystempolicy
HL-AUD-006,Special Logon auditing captures success,Advanced Auditing,Medium,Pass,,Success,Success,The effective state matches the selected baseline.,,,,Configure Advanced Audit Policy: Logon/Logoff > Special Logon to include Success.,https://learn.microsoft.com/windows/security/threat-protection/auditing/advanced-security-auditing; https://learn.microsoft.com/windows/win32/api/ntsecapi/nf-ntsecapi-auditquerysystempolicy
HL-AUD-007,Audit Policy Change auditing captures success,Advanced Auditing,High,Error,,Success,<not set>,AuditQuerySystemPolicy returned access denied while reading Audit Policy Change.,,,,Configure Advanced Audit Policy: Policy Change > Audit Policy Change to include Success.,https://learn.microsoft.com/windows/security/threat-protection/auditing/advanced-security-auditing; https://learn.microsoft.com/windows/win32/api/ntsecapi/nf-ntsecapi-auditquerysystempolicy
HL-LOG-001,Security event log has sufficient capacity,Security Logging,Medium,Pass,,At least 1073741824 bytes,At least 1073741824 bytes,The effective state matches the selected baseline.,,,,Increase the Security log maximum size and forward relevant events to centralized storage.,https://learn.microsoft.com/windows-server/identity/ad-ds/plan/appendix-l--events-to-monitor
HL-LOG-002,System event log has sufficient capacity,Security Logging,Low,Pass,,At least 268435456 bytes,At least 268435456 bytes,The effective state matches the selected baseline.,,,,Increase the System log maximum size based on event volume and forwarding latency.,https://learn.microsoft.com/windows-server/identity/ad-ds/plan/appendix-l--events-to-monitor
HL-LOG-003,PowerShell Operational log has sufficient capacity,Security Logging,Medium,Pass,,At least 134217728 bytes,At least 134217728 bytes,The effective state matches the selected baseline.,,,,Enable the PowerShell Operational log and increase its maximum size based on script activity and forwarding latency.,https://learn.microsoft.com/powershell/module/microsoft.powershell.core/about/about_logging_windows?view=powershell-7.5
HL-BIT-001,Operating system volume is protected by BitLocker,Data Protection,High,Fail,,Protection On and FullyEncrypted,"Off, FullyDecrypted",The operating system volume is not protected by BitLocker.,,,,Enable BitLocker using an approved protector and escrow recovery information in the organization-approved directory.,https://learn.microsoft.com/windows/security/operating-system-security/data-protection/bitlocker/
HL-BOOT-001,Secure Boot is enabled,Platform Security,Medium,Pass,,Enabled,Enabled,The effective state matches the selected baseline.,,,,"Enable UEFI Secure Boot after validating firmware, operating system, and virtualization support.",https://learn.microsoft.com/windows-hardware/design/device-experiences/oem-secure-boot
HL-AUTORUN-001,AutoRun and AutoPlay are disabled,Attack Surface Reduction,Medium,Pass,,NoDriveTypeAutoRun=255 and NoAutorun=1,NoDriveTypeAutoRun=255 and NoAutorun=1,The effective state matches the selected baseline.,,,,Disable AutoPlay for all drives and disable AutoRun commands through Group Policy or Intune.,https://learn.microsoft.com/windows/security/operating-system-security/device-management/windows-security-configuration-framework/windows-security-baselines
HL-RA-001,Solicited Remote Assistance is disabled,Remote Administration,Low,Excepted,Fail,0,1,Solicited Remote Assistance is enabled for the approved support workflow.,EXC-DEMO-REMOTE-ASSISTANCE,Workplace Engineering,2027-06-30,"Disable ""Configure Solicited Remote Assistance"" unless the support model requires it; use a documented exception when enabled.",https://learn.microsoft.com/windows/security/operating-system-security/device-management/windows-security-configuration-framework/windows-security-baselines
HL-VBS-001,Memory integrity (HVCI) is running,Platform Security,High,Pass,,Memory integrity (HVCI) running,Memory integrity (HVCI) running,The effective state matches the selected baseline.,,,,"Enable memory integrity through Windows Security, Intune, or Group Policy after validating driver compatibility.",https://learn.microsoft.com/windows/security/hardware-security/enable-virtualization-based-protection-of-code-integrity
